detector,seed,threshold,precision,recall,f1,true_positives,false_positives,false_negatives,prediction_count,target_count
faster_rcnn,17,0.01,0.03819939768584562,0.8992537313432836,0.07328569256499924,241,6068,27,6309,268
faster_rcnn,17,0.02,0.04959930690924843,0.8544776119402985,0.09375639713408393,229,4388,39,4617,268
faster_rcnn,17,0.03,0.0581183216054209,0.832089552238806,0.10864799025578563,223,3614,45,3837,268
faster_rcnn,17,0.04,0.06439169139465875,0.8097014925373134,0.11929631665750412,217,3153,51,3370,268
faster_rcnn,17,0.05,0.06935851514164768,0.7947761194029851,0.1275831087151842,213,2858,55,3071,268
faster_rcnn,17,0.06,0.07381370826010544,0.7835820895522388,0.13491808544812076,210,2635,58,2845,268
faster_rcnn,17,0.07,0.07706837929731772,0.7611940298507462,0.13996569468267583,204,2443,64,2647,268
faster_rcnn,17,0.08,0.08096192384769539,0.753731343283582,0.14621787911690193,202,2293,66,2495,268
faster_rcnn,17,0.09,0.08512431521281079,0.753731343283582,0.1529723589549413,202,2171,66,2373,268
faster_rcnn,17,0.1,0.08943820224719101,0.7425373134328358,0.1596470116325712,199,2026,69,2225,268
faster_rcnn,17,0.11,0.0924964605946201,0.7313432835820896,0.16422287390029328,196,1923,72,2119,268
faster_rcnn,17,0.12,0.09683794466403162,0.7313432835820896,0.17102966841186734,196,1828,72,2024,268
faster_rcnn,17,0.13,0.1,0.7238805970149254,0.17572463768115942,194,1746,74,1940,268
faster_rcnn,17,0.14,0.10165864098448368,0.7089552238805971,0.1778193729527375,190,1679,78,1869,268
faster_rcnn,17,0.15,0.1040268456375839,0.6940298507462687,0.18093385214007784,186,1602,82,1788,268
faster_rcnn,17,0.16,0.10749564206856478,0.6902985074626866,0.18602312719959777,185,1536,83,1721,268
faster_rcnn,17,0.17,0.10957254665863937,0.6791044776119403,0.1886988076723691,182,1479,86,1661,268
faster_rcnn,17,0.18,0.1133250311332503,0.6791044776119403,0.1942369263607257,182,1424,86,1606,268
faster_rcnn,17,0.19,0.11483870967741935,0.664179104477612,0.19581958195819582,178,1372,90,1550,268
faster_rcnn,17,0.2,0.11553784860557768,0.6492537313432836,0.19616685456595265,174,1332,94,1506,268
faster_rcnn,17,0.21,0.11885245901639344,0.6492537313432836,0.20092378752886836,174,1290,94,1464,268
faster_rcnn,17,0.22,0.1227080394922426,0.6492537313432836,0.20640569395017794,174,1244,94,1418,268
faster_rcnn,17,0.23,0.12563543936092955,0.6455223880597015,0.21033434650455926,173,1204,95,1377,268
faster_rcnn,17,0.24,0.12872023809523808,0.6455223880597015,0.21464019851116625,173,1171,95,1344,268
faster_rcnn,17,0.25,0.13165905631659056,0.6455223880597015,0.21871049304677623,173,1141,95,1314,268
faster_rcnn,17,0.26,0.13469068128425998,0.6417910447761194,0.2226537216828479,172,1105,96,1277,268
faster_rcnn,17,0.27,0.13734939759036144,0.6380597014925373,0.2260409781890284,171,1074,97,1245,268
faster_rcnn,17,0.28,0.13920922570016475,0.6305970149253731,0.2280701754385965,169,1045,99,1214,268
faster_rcnn,17,0.29,0.14069081718618365,0.6231343283582089,0.22955326460481099,167,1020,101,1187,268
faster_rcnn,17,0.3,0.1444636678200692,0.6231343283582089,0.23455056179775277,167,989,101,1156,268
faster_rcnn,17,0.31,0.148576512455516,0.6231343283582089,0.23994252873563218,167,957,101,1124,268
faster_rcnn,17,0.32,0.15243342516069788,0.6194029850746269,0.24465733235077375,166,923,102,1089,268
faster_rcnn,17,0.33,0.15515610217596973,0.6119402985074627,0.24754716981132077,164,893,104,1057,268
faster_rcnn,17,0.34,0.1583011583011583,0.6119402985074627,0.25153374233128833,164,872,104,1036,268
faster_rcnn,17,0.35,0.16237623762376238,0.6119402985074627,0.2566510172143975,164,846,104,1010,268
faster_rcnn,17,0.36,0.16414904330312186,0.6082089552238806,0.25852498017446474,163,830,105,993,268
faster_rcnn,17,0.37,0.16597938144329896,0.6007462686567164,0.26009693053311794,161,809,107,970,268
faster_rcnn,17,0.38,0.16790648246546228,0.5895522388059702,0.261373035566584,158,783,110,941,268
faster_rcnn,17,0.39,0.17139737991266377,0.585820895522388,0.2652027027027027,157,759,111,916,268
faster_rcnn,17,0.4,0.17541899441340783,0.585820895522388,0.26999140154772144,157,738,111,895,268
faster_rcnn,17,0.41,0.17775229357798164,0.5783582089552238,0.2719298245614035,155,717,113,872,268
faster_rcnn,17,0.42,0.18138987043580684,0.5746268656716418,0.27573858549686664,154,695,114,849,268
faster_rcnn,17,0.43,0.18446601941747573,0.5671641791044776,0.2783882783882784,152,672,116,824,268
faster_rcnn,17,0.44,0.19041614123581338,0.5634328358208955,0.2846371347785108,151,642,117,793,268
faster_rcnn,17,0.45,0.18992248062015504,0.5485074626865671,0.2821497120921305,147,627,121,774,268
faster_rcnn,17,0.46,0.1931216931216931,0.5447761194029851,0.28515625,146,610,122,756,268
faster_rcnn,17,0.47,0.19674355495251017,0.5410447761194029,0.2885572139303482,145,592,123,737,268
faster_rcnn,17,0.48,0.20084269662921347,0.5335820895522388,0.29183673469387755,143,569,125,712,268
faster_rcnn,17,0.49,0.20399429386590584,0.5335820895522388,0.2951496388028896,143,558,125,701,268
faster_rcnn,17,0.5,0.20845481049562684,0.5335820895522388,0.29979035639413,143,543,125,686,268
faster_rcnn,17,0.51,0.2147147147147147,0.5335820895522388,0.30620985010706636,143,523,125,666,268
faster_rcnn,17,0.52,0.2196620583717358,0.5335820895522388,0.3112078346028292,143,508,125,651,268
faster_rcnn,17,0.53,0.22082018927444794,0.5223880597014925,0.31042128603104213,140,494,128,634,268
faster_rcnn,17,0.54,0.22294022617124395,0.5149253731343284,0.3111612175873732,138,481,130,619,268
faster_rcnn,17,0.55,0.22277227722772278,0.503731343283582,0.30892448512585813,135,471,133,606,268
faster_rcnn,17,0.56,0.22508591065292097,0.48880597014925375,0.30823529411764705,131,451,137,582,268
faster_rcnn,17,0.57,0.22614840989399293,0.47761194029850745,0.3069544364508393,128,438,140,566,268
faster_rcnn,17,0.58,0.23161764705882354,0.4701492537313433,0.31034482758620696,126,418,142,544,268
faster_rcnn,17,0.59,0.2376425855513308,0.4664179104477612,0.3148614609571788,125,401,143,526,268
faster_rcnn,17,0.6,0.24055666003976142,0.45149253731343286,0.3138780804150454,121,382,147,503,268
faster_rcnn,17,0.61,0.24688796680497926,0.44402985074626866,0.3173333333333333,119,363,149,482,268
faster_rcnn,17,0.62,0.2526997840172786,0.43656716417910446,0.32010943912448697,117,346,151,463,268
faster_rcnn,17,0.63,0.2635135135135135,0.43656716417910446,0.3286516853932584,117,327,151,444,268
faster_rcnn,17,0.64,0.2652582159624413,0.4216417910447761,0.3256484149855908,113,313,155,426,268
faster_rcnn,17,0.65,0.26968973747016706,0.4216417910447761,0.32896652110625907,113,306,155,419,268
faster_rcnn,17,0.66,0.27680798004987534,0.4141791044776119,0.33183856502242154,111,290,157,401,268
faster_rcnn,17,0.67,0.2917771883289125,0.41044776119402987,0.34108527131782945,110,267,158,377,268
faster_rcnn,17,0.68,0.29315068493150687,0.39925373134328357,0.33807266982622436,107,258,161,365,268
faster_rcnn,17,0.69,0.29545454545454547,0.3880597014925373,0.33548387096774196,104,248,164,352,268
faster_rcnn,17,0.7,0.2997032640949555,0.376865671641791,0.3338842975206611,101,236,167,337,268
faster_rcnn,17,0.71,0.3028391167192429,0.3582089552238806,0.3282051282051282,96,221,172,317,268
faster_rcnn,17,0.72,0.30718954248366015,0.35074626865671643,0.3275261324041812,94,212,174,306,268
faster_rcnn,17,0.73,0.3192982456140351,0.33955223880597013,0.32911392405063294,91,194,177,285,268
faster_rcnn,17,0.74,0.332089552238806,0.332089552238806,0.332089552238806,89,179,179,268,268
faster_rcnn,17,0.75,0.3441295546558704,0.31716417910447764,0.3300970873786408,85,162,183,247,268
faster_rcnn,17,0.76,0.3672566371681416,0.30970149253731344,0.3360323886639676,83,143,185,226,268
faster_rcnn,17,0.77,0.3932038834951456,0.30223880597014924,0.34177215189873417,81,125,187,206,268
faster_rcnn,17,0.78,0.4175824175824176,0.2835820895522388,0.3377777777777778,76,106,192,182,268
faster_rcnn,17,0.79,0.4620253164556962,0.27238805970149255,0.34272300469483574,73,85,195,158,268
faster_rcnn,17,0.8,0.47586206896551725,0.2574626865671642,0.33414043583535114,69,76,199,145,268
faster_rcnn,17,0.81,0.4883720930232558,0.23507462686567165,0.31738035264483627,63,66,205,129,268
faster_rcnn,17,0.82,0.5,0.2126865671641791,0.29842931937172773,57,57,211,114,268
faster_rcnn,17,0.83,0.5376344086021505,0.1865671641791045,0.2770083102493075,50,43,218,93,268
faster_rcnn,17,0.84,0.5921052631578947,0.16791044776119404,0.2616279069767442,45,31,223,76,268
faster_rcnn,17,0.85,0.6212121212121212,0.15298507462686567,0.24550898203592816,41,25,227,66,268
faster_rcnn,17,0.86,0.66,0.12313432835820895,0.20754716981132074,33,17,235,50,268
faster_rcnn,17,0.87,0.6666666666666666,0.1044776119402985,0.18064516129032257,28,14,240,42,268
faster_rcnn,17,0.88,0.6451612903225806,0.07462686567164178,0.13377926421404682,20,11,248,31,268
faster_rcnn,17,0.89,0.7391304347826086,0.06343283582089553,0.11683848797250859,17,6,251,23,268
faster_rcnn,17,0.9,0.7777777777777778,0.05223880597014925,0.0979020979020979,14,4,254,18,268
faster_rcnn,17,0.91,1.0,0.014925373134328358,0.029411764705882353,4,0,264,4,268
faster_rcnn,17,0.92,1.0,0.007462686567164179,0.014814814814814815,2,0,266,2,268
faster_rcnn,17,0.93,1.0,0.007462686567164179,0.014814814814814815,2,0,266,2,268
faster_rcnn,17,0.94,0.0,0.0,0.0,0,0,268,0,268
faster_rcnn,17,0.95,0.0,0.0,0.0,0,0,268,0,268
faster_rcnn,17,0.96,0.0,0.0,0.0,0,0,268,0,268
faster_rcnn,17,0.97,0.0,0.0,0.0,0,0,268,0,268
faster_rcnn,17,0.98,0.0,0.0,0.0,0,0,268,0,268
faster_rcnn,17,0.99,0.0,0.0,0.0,0,0,268,0,268
faster_rcnn,42,0.01,0.07957153787299158,0.7761194029850746,0.14434420541290768,208,2406,60,2614,268
faster_rcnn,42,0.02,0.09879638916750251,0.7350746268656716,0.17418213969938107,197,1797,71,1994,268
faster_rcnn,42,0.03,0.1100811123986095,0.7089552238805971,0.1905717151454363,190,1536,78,1726,268
faster_rcnn,42,0.04,0.119140625,0.6828358208955224,0.20288248337028825,183,1353,85,1536,268
faster_rcnn,42,0.05,0.12771929824561404,0.6791044776119403,0.21500295333727115,182,1243,86,1425,268
faster_rcnn,42,0.06,0.13413715146948002,0.664179104477612,0.22319749216300938,178,1149,90,1327,268
faster_rcnn,42,0.07,0.14147130153597412,0.6529850746268657,0.23255813953488372,175,1062,93,1237,268
faster_rcnn,42,0.08,0.14648602878916173,0.6455223880597015,0.23878536922015184,173,1008,95,1181,268
faster_rcnn,42,0.09,0.15132743362831858,0.6380597014925373,0.2446351931330472,171,959,97,1130,268
faster_rcnn,42,0.1,0.15648148148148147,0.6305970149253731,0.2507418397626113,169,911,99,1080,268
faster_rcnn,42,0.11,0.1606969990319458,0.6194029850746269,0.25518831667947733,166,867,102,1033,268
faster_rcnn,42,0.12,0.16467065868263472,0.6156716417910447,0.25984251968503935,165,837,103,1002,268
faster_rcnn,42,0.13,0.1692466460268318,0.6119402985074627,0.2651576394502829,164,805,104,969,268
faster_rcnn,42,0.14,0.1764069264069264,0.6082089552238806,0.273489932885906,163,761,105,924,268
faster_rcnn,42,0.15,0.18131256952169078,0.6082089552238806,0.2793487574978578,163,736,105,899,268
faster_rcnn,42,0.16,0.18501702610669693,0.6082089552238806,0.28372497824194953,163,718,105,881,268
faster_rcnn,42,0.17,0.1899179366940211,0.6044776119402985,0.28902765388046386,162,691,106,853,268
faster_rcnn,42,0.18,0.19110576923076922,0.5932835820895522,0.28909090909090907,159,673,109,832,268
faster_rcnn,42,0.19,0.1941031941031941,0.5895522388059702,0.2920517560073937,158,656,110,814,268
faster_rcnn,42,0.2,0.19674185463659147,0.585820895522388,0.2945590994371482,157,641,111,798,268
faster_rcnn,42,0.21,0.20051085568326948,0.585820895522388,0.2987630827783064,157,626,111,783,268
faster_rcnn,42,0.22,0.2046936114732725,0.585820895522388,0.3033816425120773,157,610,111,767,268
faster_rcnn,42,0.23,0.20712401055408972,0.585820895522388,0.30604288499025345,157,601,111,758,268
faster_rcnn,42,0.24,0.20855614973262032,0.582089552238806,0.3070866141732283,156,592,112,748,268
faster_rcnn,42,0.25,0.21282401091405184,0.582089552238806,0.3116883116883117,156,577,112,733,268
faster_rcnn,42,0.26,0.21636615811373092,0.582089552238806,0.3154701718907988,156,565,112,721,268
faster_rcnn,42,0.27,0.22033898305084745,0.582089552238806,0.319672131147541,156,552,112,708,268
faster_rcnn,42,0.28,0.22286541244573083,0.5746268656716418,0.32116788321167883,154,537,114,691,268
faster_rcnn,42,0.29,0.22481751824817517,0.5746268656716418,0.3231899265477439,154,531,114,685,268
